2BLOCK              -	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FAOSO2              -	1.35	0.90	0.74	0.87	0.71	0.79	0.95	0.75	0.80	0.88	0.78	0.85	0.78	0.80	1.21	-
FAOSO4              -	-	2.89	0.79	0.96	0.66	0.59	0.59	0.59	0.55	0.44	0.63	0.50	0.58	0.60	0.53	-
FAOSO6              -	-	-	2.32	2.75	0.55	0.65	0.55	0.42	0.38	0.49	0.37	0.47	0.36	-	0.46	-
FBOM                2.96	2.21	1.68	1.24	1.27	1.03	1.06	0.96	1.03	0.98	0.72	0.97	0.73	1.05	0.76	0.94	-
FDM                 4.84	5.95	6.21	6.91	7.04	7.31	7.44	7.41	7.59	7.43	7.44	7.89	7.51	7.98	7.94	7.80	-
FFS                 3.34	2.07	1.57	1.32	1.04	1.00	0.86	0.85	0.77	0.91	0.90	0.71	0.81	0.71	0.79	0.75	-
FJS                 2.83	2.10	1.63	1.44	1.15	1.26	0.88	1.10	0.95	1.01	0.77	0.95	0.90	0.91	0.83	0.95	-
FNDM                2.22	2.00	1.55	1.32	1.16	1.21	0.96	0.89	0.83	0.75	0.82	0.72	0.75	0.62	0.62	0.58	-
FS                  3.29	2.06	1.40	1.37	1.06	1.00	0.88	0.92	0.79	0.85	0.67	0.79	0.74	0.77	0.80	0.79	-
FS-W1               3.39	2.11	1.60	1.36	1.15	1.00	0.89	0.89	0.97	0.78	0.79	0.82	0.88	0.72	0.78	0.63	-
FS-W2               2.32	1.51	1.19	0.80	0.85	0.93	0.79	0.59	0.58	0.64	0.52	0.61	0.52	0.63	0.62	0.52	-
FS-W4               2.02	1.33	0.92	0.70	0.78	0.69	0.57	0.58	0.58	0.62	0.52	0.63	0.55	0.51	0.44	0.40	-
FS-W6               1.83	1.31	0.92	0.70	0.79	0.87	0.68	0.58	0.49	0.56	0.41	0.52	0.45	0.50	0.52	0.49	-
FS-W8               1.99	1.42	0.95	0.62	0.76	0.88	0.57	0.66	0.59	0.66	0.56	0.61	0.63	0.43	0.52	0.43	-
FSBNDM              1.69	1.19	0.94	0.80	0.80	0.64	0.66	0.52	0.54	0.50	0.43	0.52	0.47	0.63	0.59	0.57	-
FSBNDM-W1           2.42	1.58	1.10	0.91	0.76	0.83	0.60	0.66	0.67	0.74	0.61	0.76	0.63	0.54	0.51	0.59	-
FSBNDM-W2           2.18	1.40	1.10	0.76	0.85	0.65	0.69	0.49	0.54	0.51	0.46	0.45	0.47	0.50	0.54	0.52	-
FSBNDM-W4           2.28	-	1.12	0.67	0.73	0.71	0.61	0.58	0.71	0.53	0.52	0.52	0.53	0.39	0.40	0.41	-
FSBNDM-W6           2.61	1.89	1.13	0.87	0.83	0.69	0.70	0.52	0.53	0.50	0.53	0.47	0.43	0.57	0.55	0.48	-
FSBNDM-W8           2.96	2.15	1.35	0.89	0.99	0.81	0.67	0.73	0.75	0.64	0.57	0.68	0.59	0.48	0.45	0.49	-
FSBNDMQ20           1.68	0.96	0.84	0.56	0.62	0.61	0.60	0.45	0.58	0.45	0.50	0.49	0.48	0.59	0.60	0.51	-
FSBNDMQ21           1.76	1.26	0.89	0.78	0.81	0.74	0.54	0.64	0.66	0.62	0.53	0.58	0.57	0.50	0.62	0.47	-
FSBNDMQ31           -	1.09	0.75	0.53	0.65	0.49	0.53	0.34	0.44	0.39	0.35	0.38	0.41	0.44	0.45	0.44	-
FSBNDMQ32           -	1.25	0.88	0.70	0.63	0.55	0.46	0.59	0.58	0.49	0.44	0.56	0.44	0.42	0.39	0.39	-
FSBNDMQ41           -	1.43	0.83	0.56	0.73	0.54	0.53	0.49	0.34	0.41	0.38	0.36	0.35	0.42	0.38	0.40	-
FSBNDMQ42           -	1.27	0.82	0.74	0.50	0.50	0.43	0.52	0.41	0.45	0.37	0.43	0.42	0.40	0.33	0.29	-
FSBNDMQ43           -	1.44	0.85	0.70	0.68	0.66	0.53	0.48	0.41	0.42	0.36	0.43	0.44	0.48	0.51	0.42	-
